film_title,year,genre,runtime_mins,avg_rating,num_ratings,num_reviews,country,language,letterboxd_url,date_scraped
KPop Demon Hunters,2025,Fantasy|Comedy|Music|Animation,96,3.55,72095372095302300345107464274202605032025521111120210309572018935517687960,720189,USA,English|English|Korean,https://letterboxd.com/film/kpop-demon-hunters/,2026-05-04
Crime 101,2026,Crime|Thriller,141,3.1,10581321058132101023003454322420260503202610116122120230830101101587279312328010,87279,UK|USA,English,https://letterboxd.com/film/crime-101/,2026-05-04
Primate,2025,Horror|Thriller,89,2.57,11960861196086202502300345126982026043018181202520251620240711202551123432572275720,112343,USA,English,https://letterboxd.com/film/primate-2025/,2026-05-04
Louis Theroux: Inside the Manosphere,2026,Documentary,89,3.23,1499917149991702300345901412026043020262202602125790433231877680,79043,UK,English,https://letterboxd.com/film/louis-theroux-inside-the-manosphere/,2026-05-04
Pulp Fiction,1994,Comedy|Thriller|Crime,154,4.24,514445144402300345198077202605031199420110622545190942441606710,451909,USA,English|English|Spanish|French,https://letterboxd.com/film/pulp-fiction/,2026-05-04
The Notebook,2004,Romance|Drama,123,3.87,45667456670230034586784302026050320041231112220110620548718438725117260,487184,USA,English,https://letterboxd.com/film/the-notebook/,2026-05-04
Uptown Girls,2003,Drama|Comedy,92,4.02,42706427060230034569719320260503120031112011062052677544027965880,267754,USA,English,https://letterboxd.com/film/uptown-girls/,2026-05-04
Dune,2021,Science Fiction|Adventure,155,3.89,808480302300345491275120260503120212021111243201702022021573166638940322870,731666,USA,English,https://letterboxd.com/film/dune-2021/,2026-05-04
How to Lose a Guy in 10 Days,2003,Comedy|Romance,116,3.79,297697928302300345422264820260503120031021201106201010546802837921249280,468028,USA,English,https://letterboxd.com/film/how-to-lose-a-guy-in-10-days/,2026-05-04
Se7en,1995,Mystery|Crime|Thriller,127,4.37,513455134570230034576146420260503199573242011062277548205943735004360,482059,USA,English,https://letterboxd.com/film/se7en/,2026-05-04
The Truman Show,1998,Comedy|Drama,103,4.22,45023003457043937202604301199831161120110618551070642246330080,510706,USA,English|Japanese|English|Italian|Spanish,https://letterboxd.com/film/the-truman-show/,2026-05-04
The Moment,2026,Music|Comedy|Thriller,103,3.44,1301704130170420260230034500166340442026050336536524241222026202623620250124202651052613441757080,105261,USA,English,https://letterboxd.com/film/the-moment-2026/,2026-05-04
Dune: Part Two,2024,Adventure|Science Fiction,167,4.38,617443617443023003455337008202605031202413320200415589831543832861560,898315,USA,English,https://letterboxd.com/film/dune-part-two/,2026-05-04
Shutter Island,2010,Mystery|Drama|Thriller,138,4.18,4540945409023003458543832026050312010220110620534734441833443160,347344,USA,English|English|German,https://letterboxd.com/film/shutter-island/,2026-05-04
Me Before You,2016,Drama|Romance,110,3.55,223393223393023003457105012026050311201611220141005526155935513090600,261559,USA,English,https://letterboxd.com/film/me-before-you/,2026-05-04
Little Miss Sunshine,2006,Drama|Comedy,102,4.21,674550230034509383296620260503120061320110622546716742122008700,467167,USA,English,https://letterboxd.com/film/little-miss-sunshine/,2026-05-04
27 Dresses,2008,Romance|Comedy,111,3.42,48255482552702300345632890912026042120002000200827121220110622272752108023427607570,210802,USA,English,https://letterboxd.com/film/27-dresses/,2026-05-04
Pillion,2025,Drama|Romance|Comedy,107,3.54,1170433117043320250230034568045852026050311202520251333122024050920255969633541980960,96963,UK|Ireland|Netherlands,English,https://letterboxd.com/film/pillion-2025/,2026-05-04
Ready or Not,2019,Horror|Comedy,95,3.5,495969495969023003451327968202605032019201920181210201952995143512527240,299514,USA,English,https://letterboxd.com/film/ready-or-not-2019/,2026-05-04
The Substance,2024,Horror|Science Fiction,141,3.73,8381408381400230034591072820260503120242211111251113202202015122062037334787040,1220620,France|UK|USA,English,https://letterboxd.com/film/the-substance/,2026-05-04
Avatar,2009,Adventure|Science Fiction|Action,162,3.75,12730230034505982026050320201200911120110620529875237529443950,298752,USA|UK,English|English|Spanish,https://letterboxd.com/film/avatar/,2026-05-04
undertone,2025,Horror|Mystery,94,2.98,135740813574082025102300345416159620260502202520252201920250514202551031472981904410,103147,Canada|USA,English,https://letterboxd.com/film/undertone-2025/,2026-05-04
Get Out,2017,Horror|Mystery|Thriller,104,4.14,3531173531170230034513603020260503201720171121201610052017547323741443434710,473237,USA,English,https://letterboxd.com/film/get-out-2017/,2026-05-04
How to Make a Killing,2026,Comedy|Thriller,105,3.16,399504399504202602300345294844202605032202620261317115432332017072620265823603161889690,82360,UK|France|South Africa,English|English|French,https://letterboxd.com/film/how-to-make-a-killing-2026/,2026-05-04
The Lord of the Rings: The Two Towers,2002,Action|Fantasy|Adventure,179,4.43,5192951929023003459609783202605032002111111121111111117111320110622527004544321497820,270045,New Zealand|USA,English,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/,2026-05-04
I Swear,2025,History|Drama,120,4.25,11978421197842023003458019138202605032202511133111113202407165771964252328790,77196,UK|Ireland,English,https://letterboxd.com/film/i-swear/,2026-05-04
Die My Love,2025,Drama,119,3.18,93148093148002300345057320260503202512022100951921113184593210,192111,USA,English,https://letterboxd.com/film/die-my-love/,2026-05-04
Twilight,2008,Drama|Fantasy|Romance,122,3.08,4746947469023003453476282026050312008200814201106212008554237230821769220,542372,UK|USA,English,https://letterboxd.com/film/twilight-2008/,2026-05-04
"Good Luck, Have Fun, Don’t Die",2025,Action|Science Fiction|Comedy,134,3.38,10092371009237023003457900748202605033320252311251202304305829633381828200,82963,USA|Germany,English,https://letterboxd.com/film/good-luck-have-fun-dont-die/,2026-05-04
American Psycho,2000,Crime|Drama|Thriller|Horror,102,3.77,5976310230034581268503152026050212000120110622554373337737398630,543733,Canada|USA,English|English|Spanish|Cantonese,https://letterboxd.com/film/american-psycho/,2026-05-04
Catch Me If You Can,2002,Drama|Crime,141,4.05,51484514840230034594267642320260428200220021111111201106222002522555440523857660,225554,USA,English|English|French,https://letterboxd.com/film/catch-me-if-you-can-2002/,2026-05-04
