username,film_slug,film_id,rating
jay,bone-tomahawk,,3.5
jay,i-spit-on-your-grave-iii-vengeance-is-mine,,1.5
jay,pan-2015,,1.5
jay,the-dressmaker-2015,,2.5
jay,the-lady-in-the-van,,2.5
jay,baskin-2015,,2.5
jay,the-martian,,3.5
jay,the-visit-2015,,1.5
jay,steve-jobs,,3.5
jay,the-man-from-uncle,,3.5
jay,straight-outta-compton,,3.5
jay,mission-impossible-rogue-nation,,3.5
jay,pixels-2015,,1.0
jay,the-boy-and-the-beast,,3.0
jay,turbo-kid,,3.5
jay,deathgasm,,2.0
jay,ant-man,,2.5
jay,magic-mike-xxl,,4.0
jay,circle-2015,,3.0
jay,kung-fury,,2.0
jay,the-human-centipede-3-final-sequence,,0.5
jay,sicario-2015,,4.0
jay,louder-than-bombs,,3.0
jay,inside-out-2015,,3.0
jay,carol-2015,,4.5
jay,green-room,,4.0
jay,the-lobster,,4.0
jay,mad-max-fury-road,,5.0
jay,avengers-age-of-ultron,,2.0
jay,trainwreck,,0.5
jay,tangerine,,3.5
jay,knock-knock-2015,,1.0
jay,the-witch-2015,,4.5
jay,ex-machina-2015,,4.5
jay,paddington,,3.5
jay,clown,,2.5
jay,the-hunger-games-mockingjay-part-1,,2.0
jay,interstellar,,4.5
jay,big-hero-6,,3.0
jay,as-the-gods-will,,3.5
jay,gone-girl,,4.0
jay,john-wick,,3.5
jay,tusk-2014,,1.5
jay,nightcrawler,,4.0
jay,nymphomaniac,,2.0
jay,birdman-or-the-unexpected-virtue-of-ignorance,,5.0
jay,wrong-turn-6-last-resort,,0.5
jay,the-inbetweeners-2,,1.5
jay,sharknado-2-the-second-one,,0.5
jay,guardians-of-the-galaxy,,3.0
jay,lucy-2014,,1.0
jay,the-purge-anarchy,,2.5
jay,unfriended,,0.5
jay,22-jump-street,,3.0
jay,edge-of-tomorrow,,2.5
jay,foxcatcher,,3.0
jay,it-follows,,4.0
jay,the-fault-in-our-stars,,2.0
jay,x-men-days-of-future-past,,3.5
jay,the-amazing-spider-man-2,,2.0
jay,gods-not-dead,,0.5
jay,divergent,,1.5
jay,captain-america-the-winter-soldier,,3.5
